#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
355,51788,528,0.3100284,BROADLINE,0.02610326,563.2105,-10.75377,0.3002921,0.6490802,2.161496
414,51869,328,0.1846759,STARBURST BROADLINE,0.1184658,3112.576,-20.72246,0.4732547,1.127101,2.381596
454,51908,627,0.05919914,BROADLINE,0.03877603,33.56794,-0.394253,1.305828,0.9443101,0.7231506
546,52205,573,0.2341814,STARBURST BROADLINE,0.07704655,1138.206,-13.6674,0.324718,0.7705054,2.372845
721,52228,503,0.08289477,BROADLINE,0.05492552,30.93255,-0.3888011,1.976428,3.67563,1.859734
829,52296,275,0.1516362,BROADLINE,0.03367133,503.3342,-5.502056,0.8140226,1.095802,1.346157
978,52441,524,0.1103326,STARBURST BROADLINE,0.0337978,7375.022,-31.24908,0.7790549,1.730155,2.220839
990,52465,427,0.08385639,BROADLINE,0.0684317,2930.013,-20.36466,0.3550133,0.8128837,2.289727
1426,52993,551,0.05348795,BROADLINE,0.01755651,2276.364,-15.99699,0.3851112,0.694003,1.802085
1625,53140,134,0.08044197,STARBURST BROADLINE,0.02060772,2319.595,-25.66527,0.230475,0.5005008,2.171605
2606,54154,614,0.552017,BROADLINE,0.02188222,1450.117,-9.709053,0.2476668,0.4893284,1.975753
304,51609,408,0.05209216,,0.03632782,116.535,-0.9988101,0.2246707,0.2314928,1.030365
644,52173,413,0.5896417,BROADLINE,0.04080473,1035.502,-12.73695,0.5348418,1.2877,2.407628
767,52252,300,0.5540618,BROADLINE,0.01614243,934.5037,-8.894829,0.2535838,0.3946598,1.556329
1277,52765,433,0.3646627,BROADLINE,0.0205011,1295.295,-12.8115,0.4004197,0.8107861,2.024841
1443,53055,358,0.2248686,STARBURST BROADLINE,0.02253275,4215.459,-21.6249,0.1243922,0.2960408,2.379898
1833,54561,567,0.05100999,,0.04346284,51.26057,-0.4272045,1.151556,1.346378,1.169181
2102,54115,521,0.06168568,,0.007514635,44.48927,-0.3869972,1.375886,1.818914,1.321995
2506,54179,9,0.3743551,BROADLINE,0.0230818,877.0047,-11.18361,1.546544,3.403952,2.201006
357,51813,600,0.06150212,,0.02805919,44.60978,-0.5318509,1.103087,0.8932793,0.8097997
390,51900,114,0.06349286,BROADLINE,0.02584593,54.44826,-0.7344704,1.016777,1.828558,1.798387
490,51929,237,0.1206493,BROADLINE,0.01723473,967.4325,-11.93238,0.3550909,0.7158508,2.015965
542,51993,560,0.1322984,BROADLINE,0.0506738,1274.526,-15.90344,0.3498048,0.6945829,1.98563
551,51993,492,0.2344913,STARBURST BROADLINE,0.02005281,2229.068,-17.4852,0.4098286,0.8398883,2.049365
618,52049,204,0.0666587,,0.01276868,12.96903,-0.1499407,2.719439,2.856027,1.050226
969,52442,88,0.06457099,,0.02098229,33.4879,-0.3034805,1.025134,1.311323,1.279172
1006,52708,552,0.05046839,,0.01076256,35.00586,-0.3363576,0.7772707,0.7003518,0.9010398
1610,53144,469,0.121609,AGN BROADLINE,0.03196147,982.1518,-8.866331,0.3686905,0.6229115,1.689524
1949,53433,472,0.5306148,BROADLINE,0.01484899,1219.554,-9.254515,2.822379,4.122338,1.46059
2094,53851,630,0.1175316,STARBURST BROADLINE,0.01869195,1342.066,-9.84405,3.506023,5.323744,1.518456
2128,53800,436,0.0520518,,0.02022265,75.40821,-0.6175584,0.5941785,0.9543612,1.606186
2173,53874,354,0.4557629,BROADLINE,0.05542863,509.9599,-11.65119,0.6451375,1.609646,2.495043
2512,53877,582,0.5215923,BROADLINE,0.04497579,673.3281,-6.979514,0.4139671,0.9204111,2.223392
268,51633,235,0.595322,BROADLINE,0.03354528,677.1182,-9.859278,0.4154737,1.334858,3.212858
306,51637,392,0.05574698,,0.03816396,47.10873,-0.4356185,0.8268337,1.378551,1.667266
367,51997,472,0.3592547,BROADLINE,0.0332745,1014.552,-14.65143,0.3380402,0.7336668,2.170354
412,52235,129,0.08020398,BROADLINE,0.06504875,2934.542,-12.67558,0.5820439,1.200088,2.061852
592,52025,376,0.126024,BROADLINE,0.04435388,926.9399,-9.680372,2.555323,3.986547,1.560096
870,52325,80,0.4562829,BROADLINE,0.01863649,814.1226,-5.014013,0.4165529,0.4825431,1.15842
957,52398,20,0.4761917,BROADLINE,0.008135256,2084.148,-10.22045,0.1654543,0.3478266,2.102252
2006,53476,618,0.1863378,STARBURST BROADLINE,0.01489416,1308.8,-11.47021,0.4702603,0.903859,1.92204
2516,54241,157,0.4215071,BROADLINE,0.04263987,1099.595,-9.974576,0.54566,1.322799,2.424218
561,52295,618,0.4208928,BROADLINE,0.01354015,625.7569,-8.85923,3.467889,6.112846,1.7627
565,52225,383,0.2967729,BROADLINE,0.04973055,2577.094,-16.616,0.1707854,0.3732586,2.185541
812,52352,355,0.399824,BROADLINE,0.01843494,1693.89,-16.97565,0.1194817,0.2706213,2.264961
1843,53816,584,0.4980763,BROADLINE,0.01577194,557.34,-12.03965,0.4476209,1.072644,2.396323
2004,53737,188,0.3889111,BROADLINE,0.01755913,859.3149,-7.690618,1.688788,3.379105,2.000906
2343,53735,352,0.05207504,,0.0320962,78.65923,-0.8172466,0.7668962,1.996256,2.603033
2355,53792,105,0.0551085,BROADLINE,0.03021897,1186.639,-9.49496,1.599159,2.96898,1.856589
2504,54179,639,0.06329135,STARBURST BROADLINE,0.02759106,2802.729,-25.17962,2.810742,5.719755,2.034963
2603,54479,259,0.06738997,STARBURST BROADLINE,0.02857031,4510.373,-27.85945,2.972589,6.14655,2.067743
2745,54231,295,0.265141,BROADLINE,0.0144214,944.1344,-8.781984,1.131131,2.069736,1.829793
304,51957,426,0.05211984,,0.03632782,114.0749,-0.8619205,0.5207111,0.45511,0.8740163
394,51913,363,0.1038223,,0.02405703,10.95932,-0.2289201,1.067335,0.6374867,0.5972697
476,52314,523,0.05026412,STARBURST BROADLINE,0.06889841,3685.079,-28.08086,0.642544,1.306788,2.033772
502,51957,557,0.2201104,STARBURST BROADLINE,0.06144398,832.4188,-13.21841,0.4174479,0.8785526,2.10458
539,52017,586,0.1346648,BROADLINE,0.05099057,2292.539,-13.14289,0.4132285,0.8404432,2.033846
630,52050,513,0.3574548,STARBURST BROADLINE,0.01740545,313.5915,-6.238886,2.730232,4.260173,1.56037
1223,52781,471,0.05014781,STARBURST BROADLINE,0.02880776,3397.969,-22.88305,0.8385926,1.768904,2.109372
1419,53144,552,0.09733227,STARBURST BROADLINE,0.0167305,2022.419,-11.93944,1.025839,2.115869,2.062574
1807,54175,581,0.4374769,BROADLINE,0.02645691,253.4313,-6.09305,1.259525,1.824943,1.448914
1923,53319,382,0.1395377,STARBURST BROADLINE,0.03154486,3421.211,-30.15136,0.1661138,0.4056597,2.44206
2246,53767,66,0.0863796,AGN BROADLINE,0.01130901,2033.969,-13.28217,0.5015432,0.9016601,1.797772
2783,54524,220,0.05502648,,0.01821248,51.18768,-0.6243421,0.6273425,0.6754051,1.076613
2872,54533,104,0.5680913,BROADLINE,0.02120407,114.8775,-4.146062,0.750306,1.131584,1.508164
355,51788,414,0.09262062,STARBURST BROADLINE,0.04385718,1590.3,-10.94744,0.7112553,1.879482,2.642485
390,51900,587,0.4023389,BROADLINE,0.02475606,452.5197,-5.943464,0.9807814,1.645157,1.677394
494,51915,124,0.1842309,BROADLINE,0.01408172,1780.146,-14.36981,1.842156,3.919306,2.127565
519,52283,280,0.2402315,BROADLINE,0.02099199,2368.552,-10.43072,1.031102,2.025708,1.964605
607,52368,581,0.5525806,BROADLINE,0.01419172,567.0939,-11.73849,0.4498428,1.061532,2.359785
1233,52734,312,0.4144244,BROADLINE,0.02098736,819.0699,-7.303505,1.496639,2.169284,1.449437
2156,54525,122,0.3813043,BROADLINE,0.03792301,455.8603,-9.231826,0.4967186,1.029048,2.071693
2227,53820,252,0.4759276,BROADLINE,0.0200961,292.3211,-5.62268,2.68038,3.758329,1.402163
2647,54495,378,0.0581607,,0.01662156,33.89186,-0.4854688,1.305768,1.048939,0.8033115
394,51913,187,0.05584501,,0.0331967,25.58339,-0.3823562,0.7748675,1.496971,1.931905
434,51885,530,0.06718703,,0.04703106,18.54512,-0.2170125,1.295815,2.237752,1.726908
564,52224,214,0.05059979,BROADLINE,0.0461428,71.2141,-0.7466235,0.6809488,1.031576,1.51491
564,52224,471,0.5112072,BROADLINE,0.03008878,2766.907,-16.15146,0.1912216,0.4443092,2.323531
1921,53317,429,0.3683242,BROADLINE,0.03458149,1482.056,-12.25224,0.2722035,0.5330641,1.958329
2018,53800,618,0.4459953,BROADLINE,0.01582363,1222.596,-9.794794,0.1528739,0.2711008,1.773363
2102,54115,509,0.05811804,,0.01184179,36.84772,-0.4379579,0.8323577,0.9700864,1.165468
2239,53726,386,0.06224259,,0.01479737,18.03467,-0.1961063,2.289681,1.178891,0.5148712
2425,54139,243,0.09495958,STARBURST BROADLINE,0.03617373,468.8044,-9.700706,0.8091443,1.337792,1.653342
394,51913,586,0.06703619,,0.02934572,9.687269,-0.2016577,1.758161,1.147343,0.6525812
401,51788,247,0.3340511,BROADLINE,0.03056031,1016.183,-7.270536,0.7758499,1.324239,1.706824
411,51817,381,0.5324706,BROADLINE,0.08810838,1313.903,-10.74767,0.4205669,1.289833,3.066892
