position,int
4340.0,0.5041529999999999
4101.3,0.3051369999999999
3969.653333,0.2091659999999999
3888.64,0.154004
3834.981818,0.115759
3797.5,0.087604
3770.235897,0.0670049999999999
3749.76,0.0519739999999999
3733.978182,0.040952
3721.55,0.032759
3711.58371,0.026587
3703.466667,0.02185
3696.766316,0.018169
3691.17,0.0152669999999999
3686.447059,0.0129599999999999
3682.424242,0.011084
3678.969336,0.009558
3675.98,0.008299
3673.376,0.0072519999999999
3671.093706,0.006374
3669.082126,0.0016329999999999
3667.3,0.001003
3665.713655,0.0044619999999999
3664.295385,0.0039979999999999
3663.022222,0.0035959999999999
3661.875,0.003245
3660.837618,0.0029399999999999
3659.896471,0.002671
3659.04,0.002434
3658.258333,0.0022239999999999
3657.542998,0.0020379999999999
3656.886687,0.001872
3656.283077,0.001724
3655.726667,0.00159
3655.212657,0.001471
3654.736842,0.001363
3654.295528,0.001265
3653.885455,0.001177
3653.50374,0.001096
3653.147826,0.001023
3652.815438,0.000956
3652.504545,0.0008949999999999
3652.213333,0.000839
3651.940174,0.000787
3651.683605,0.0007399999999999
3651.442308,0.000696
3650.682477,0.0006961848
3650.468303,0.0006960774999999
3650.26616,0.0006959763
3650.075164,0.0006958806
3649.894509,0.0006957902
3649.723461,0.0006957044999999
3649.561352,0.0006956233
3649.407569,0.0006955463
3649.26155,0.0006954732
3649.122783,0.0006954036999999
3648.990793,0.0006953377
3648.865148,0.0006952746999999
3648.745446,0.0006952148
3648.631318,0.0006951576999999
3648.522424,0.0006951032
3648.418448,0.0006950510999999
3648.319099,0.0006950014
3648.224105,0.0006949537999999
3648.133216,0.0006949083
3648.046199,0.0006948647
3647.962836,0.000694823
3647.882926,0.000694783
3647.806281,0.0006947445999999
3647.732725,0.0006947077999999
3647.662095,0.0006946724999999
3647.594237,0.0006946384999999
3647.529007,0.0006946058
3647.466273,0.0006945744
3647.405908,0.0006945442
3647.347794,0.0006945150999999
3647.291821,0.0006944870999999
3647.237885,0.0006944600999999
3647.185888,0.0006944340999999
3647.135739,0.000694409
3647.08735,0.0006943847999999
3647.040641,0.0006943614
3646.995535,0.0006943388
3646.951958,0.0006943169999999
3646.909843,0.0006942959
3646.869125,0.0006942755
3646.829742,0.0006942558
3646.791638,0.0006942368
3646.754757,0.0006942183
3646.719048,0.0006942003999999
3646.684461,0.0006941831
3646.65095,0.0006941664
3646.61847,0.0006941500999999
3646.58698,0.0006941343
3646.55644,0.0006941191
3646.526812,0.0006941042
3646.498061,0.0006940898
3646.470151,0.0006940759
3646.443051,0.0006940622999999
3646.416729,0.0006940491
3646.391155,0.0006940362999999
3646.366303,0.0006940238999999
3646.342144,0.0006940117999999
3646.318654,0.0006939999999999
3646.295807,0.0006939885999999
3646.273581,0.0006939774999999
3646.251954,0.0006939666999999
3646.230903,0.0006939560999999
3646.210409,0.0006939459
3646.190452,0.0006939359
3646.171013,0.0006939262
3646.152076,0.0006939166999999
3646.133622,0.0006939074
3646.115635,0.0006938984
3646.0981,0.0006938896999999
3646.081002,0.0006938810999999
3646.064326,0.0006938727999999
3646.048059,0.0006938645999999
