RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd
219.21461,34.60067,1645,109,53172,-22.73,45.155,0.005,42.12,0.05,7102.3,728.7,42.9,5.0,16.09,8.71,0.09,-1.65
219.25626,26.67199,2137,99,54206,-22.98,45.339,0.004,42.59,0.04,9502.8,319.6,80.3,7.5,24.61,9.05,0.03,-1.81
219.31303,54.87883,1162,141,52668,-22.63,45.084,0.004,42.25,0.02,2087.2,92.0,63.4,2.9,20.19,7.61,0.04,-0.62
219.37694,7.85777,1813,302,53903,-22.7,45.175,0.011,42.34,0.04,5253.4,486.2,66.5,6.0,21.12,8.46,0.08,-1.38
219.44949,28.50541,2137,441,54206,-22.75,45.104,0.009,42.33,0.03,3358.7,140.7,74.8,5.9,18.24,8.03,0.04,-1.03
219.57004,7.5981,1813,285,53903,-22.85,45.255,0.003,42.5,0.01,5066.3,259.3,75.3,2.5,29.47,8.46,0.04,-1.31
219.58603,41.94636,1396,175,53112,-23.16,45.464,0.017,42.45,0.05,2394.8,308.1,45.5,5.8,23.56,7.92,0.11,-0.55
219.62598,35.65449,1645,618,53172,-22.61,45.205,0.005,42.44,0.02,7998.1,772.5,76.7,3.9,18.58,8.84,0.08,-1.73
219.6385,10.33574,1711,436,53535,-22.36,45.177,0.003,42.28,0.01,2029.6,59.8,53.5,1.4,22.37,7.63,0.03,-0.55
219.70346,28.59892,2137,533,54206,-22.47,44.951,0.002,41.94,0.03,6789.6,641.8,45.4,3.6,15.59,8.57,0.08,-1.72
219.83047,55.22166,1162,483,52668,-22.68,45.149,0.003,42.46,0.02,6123.7,160.8,87.8,4.8,21.69,8.58,0.02,-1.53
219.91783,3.09129,586,89,52023,-23.18,45.354,0.002,42.19,0.04,1281.1,490.1,29.9,2.0,21.82,7.32,0.33,-0.07
220.05313,61.94252,607,625,52368,-24.26,45.788,0.001,42.95,0.0,1512.7,32.7,62.9,0.85,44.68,7.68,0.02,0.01
220.06677,20.35394,2789,231,54555,-22.36,44.948,0.004,42.11,0.02,5923.8,248.2,64.5,3.0,17.0,8.45,0.04,-1.6
220.11891,63.51298,2947,473,54533,-22.9,45.109,0.004,42.2,0.02,8071.8,309.5,55.7,2.8,23.05,8.8,0.03,-1.79
220.15971,8.67642,1813,471,53903,-22.73,45.153,0.003,42.37,0.02,4739.6,104.0,73.2,3.3,23.78,8.35,0.02,-1.3
220.24098,54.97278,1162,73,52668,-22.35,45.064,0.002,41.37,0.15,2255.2,4390.1,9.6,3.7,15.49,7.67,1.69,-0.7
220.5118,43.6191,1289,184,52734,-23.69,45.686,0.0,43.02,0.02,3203.5,420.4,90.6,4.0,38.23,8.28,0.11,-0.7
220.53207,38.7365,1350,193,52786,-22.6,45.083,0.007,42.28,0.03,4216.8,96.0,69.3,5.8,30.48,8.22,0.02,-1.24
220.67,5.40646,1829,249,53494,-22.58,44.915,0.002,42.05,0.02,1990.4,332.2,64.9,3.2,31.46,7.48,0.14,-0.67
220.7408,44.71711,1289,449,52734,-22.98,45.178,0.005,42.36,0.03,7632.7,279.9,71.8,5.3,18.84,8.78,0.03,-1.7
220.7608,40.75698,1397,316,53119,-24.12,45.604,0.002,42.76,0.04,2101.5,295.7,61.8,5.7,37.41,7.87,0.12,-0.37
220.76402,26.05829,2142,292,54208,-22.6,45.153,0.006,42.11,0.05,4657.1,348.2,39.3,5.1,17.19,8.34,0.06,-1.29
220.838,19.06447,2776,495,54554,-23.02,45.241,0.01,42.35,0.02,7800.5,570.7,58.3,5.1,17.65,8.83,0.06,-1.69
220.96365,37.87732,1350,247,52786,-23.26,45.354,0.004,42.5,0.02,4758.3,203.3,62.5,3.7,21.48,8.46,0.04,-1.21
220.99896,1.49897,536,30,52024,-23.0,45.323,0.004,42.66,0.02,1997.2,291.9,96.7,5.9,22.55,7.69,0.13,-0.47
221.06111,6.55188,1829,464,53494,-23.72,45.444,0.001,42.87,0.01,3897.2,127.5,116.4,2.8,34.53,8.33,0.03,-0.99
221.1947,59.17985,608,168,52081,-22.8,45.202,0.004,42.05,0.03,2215.8,245.8,30.7,2.1,20.31,7.72,0.1,-0.62
221.2076,14.85081,2748,628,54234,-22.61,45.121,0.005,42.43,0.04,5437.3,249.5,91.0,10.0,16.78,8.46,0.04,-1.44
221.28929,15.48982,2763,244,54507,-22.98,45.091,0.005,42.22,0.03,6482.6,227.3,62.5,5.0,16.61,8.6,0.03,-1.61
221.29224,30.83252,1842,67,53501,-23.74,45.532,0.002,42.94,0.02,4948.2,149.7,111.9,5.5,30.59,8.58,0.03,-1.15
221.35516,21.75313,2144,287,53770,-22.79,45.083,0.005,42.28,0.02,3255.9,141.2,71.4,4.2,15.63,7.99,0.04,-1.01
221.35768,38.14327,1350,204,52786,-22.77,45.154,0.005,42.29,0.05,4686.3,482.3,61.3,6.9,16.32,8.35,0.09,-1.29
221.3734,36.77078,1383,321,53116,-22.72,45.138,0.01,42.36,0.02,3623.5,134.1,72.3,4.3,17.88,8.11,0.03,-1.08
221.39476,46.64323,1675,428,53466,-22.63,45.065,0.006,42.31,0.04,1508.9,198.6,79.2,8.5,15.3,7.32,0.11,-0.35
221.50357,22.55161,2144,263,53770,-22.99,45.245,0.005,42.15,0.05,3904.8,478.8,36.0,4.3,15.76,8.23,0.11,-1.09
221.57536,41.33418,1397,399,53119,-23.01,45.226,0.004,42.49,0.03,5259.5,280.7,84.6,5.7,23.73,8.48,0.05,-1.36
221.69142,40.58494,1397,190,53119,-25.07,46.118,0.002,43.38,0.01,2844.5,79.7,76.7,2.1,50.33,8.39,0.02,-0.38
221.76196,27.62964,2142,499,54208,-22.66,45.024,0.001,42.21,0.02,11380.7,2891.6,67.1,2.8,17.18,9.05,0.22,-2.13
221.94594,0.92169,308,523,51662,-22.9,45.206,0.004,42.15,0.03,4130.2,194.9,40.4,3.2,17.92,8.26,0.04,-1.16
221.95332,62.74578,609,435,52339,-22.47,45.028,0.006,41.98,0.04,3084.9,235.8,41.2,4.1,15.52,7.92,0.07,-0.99
222.10457,35.99629,1383,476,53116,-22.34,45.059,0.007,42.13,0.1,1811.7,773.9,51.3,9.3,36.44,7.47,0.37,-0.51
222.18289,25.52132,2143,446,54184,-23.09,45.261,0.004,42.36,0.03,2359.0,336.6,55.8,3.6,21.4,7.8,0.12,-0.64
222.21992,3.9663,588,354,52045,-22.75,45.1,0.007,42.29,0.03,3544.2,229.4,70.9,5.3,15.64,8.08,0.06,-1.08
222.3658,45.7561,1675,62,53466,-22.98,45.278,0.006,41.7,0.07,4671.2,998.7,12.0,2.1,15.32,8.4,0.19,-1.23
222.37704,-0.79621,308,43,51662,-23.53,45.393,0.004,42.34,0.02,7204.4,381.7,39.8,2.5,29.27,8.84,0.05,-1.55
222.44037,42.37867,1290,264,52734,-22.81,45.19,0.005,42.36,0.03,2303.3,249.7,66.6,5.9,16.39,7.75,0.09,-0.66
222.52139,46.58926,1675,506,53466,-23.82,45.577,0.001,42.84,0.01,3802.4,338.8,78.2,1.6,29.2,8.38,0.08,-0.9
222.61105,58.66248,608,1,52081,-22.44,45.125,0.003,41.93,0.04,4306.4,4308.9,30.1,3.0,16.49,8.26,0.87,-1.23
222.64603,32.68591,1647,225,53531,-22.45,44.987,0.007,42.21,0.02,5976.4,251.3,74.8,5.3,15.69,8.47,0.04,-1.59
222.70886,12.84332,1714,408,53521,-22.77,45.183,0.003,41.79,0.06,1643.2,266.5,18.0,2.7,17.12,7.45,0.14,-0.37
222.78651,27.15748,2142,637,54208,-22.49,45.267,0.002,42.12,0.02,1303.1,54.2,31.0,1.7,50.83,7.29,0.04,-0.12
222.8764,27.33852,2142,621,54208,-22.48,45.013,0.006,42.03,0.03,7508.3,452.0,48.1,4.0,15.58,8.68,0.05,-1.77
222.92848,61.12996,608,569,52081,-23.51,45.23,0.003,42.47,0.04,2909.9,254.2,78.2,6.3,21.55,7.97,0.08,-0.84
222.96474,59.23336,608,65,52081,-22.99,45.288,0.004,42.44,0.04,2432.1,477.9,63.0,5.2,22.43,7.84,0.17,-0.65
223.15788,44.99229,1676,255,53147,-22.81,45.134,0.006,42.05,0.05,3338.0,189.5,35.9,5.4,17.62,8.04,0.05,-1.01
223.20541,7.41027,1814,125,54555,-22.79,45.123,0.006,42.3,0.04,3268.1,233.8,66.2,7.6,23.43,8.02,0.06,-0.99
223.2818,38.05546,1351,424,52790,-23.13,45.257,0.004,42.33,0.13,1446.5,941.2,51.7,12.0,17.29,7.38,0.57,-0.22
223.33969,12.94075,2750,86,54242,-22.68,45.19,0.001,42.41,0.02,2590.2,290.3,72.7,3.1,19.2,7.85,0.1,-0.76
223.38113,26.82966,2145,467,54212,-23.83,45.326,0.007,42.66,0.01,15309.0,2331.0,99.9,4.4,24.35,9.46,0.13,-2.23
223.44043,34.55563,1384,291,53121,-23.0,45.193,0.007,42.47,0.04,3717.0,664.3,84.7,8.7,20.38,8.16,0.16,-1.07
223.49887,9.26205,1713,19,53827,-22.85,45.192,0.005,42.33,0.05,3612.2,552.1,62.6,7.4,17.19,8.14,0.13,-1.05
