,plate,mjd,fiberid,z,subclass,e_bv_sfd,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,neiii_3869_flux,oii_3726_flux,oii_3729_flux,h_alpha_eqw,nii_6584_eqw,psfMag_g,psfMag_z
20433,904,52381,473,0.1217979,b'',0.01089135,66.55641,17.07732,119.8519,95.17088,10.21701,26.70379,25.77359,14.80134,25.8145,20.90794,-4.998845,-6.942696,19.0476,17.43187
20434,860,52319,387,0.04102688,b'STARFORMING',0.04899415,262.2091,70.61416,106.8721,44.75114,12.10616,61.12555,41.43033,11.94037,111.1596,131.9877,-32.19258,-4.9688,20.08212,19.22772
20435,870,52325,370,0.02510431,b'STARBURST',0.02451856,1024.945,287.9697,447.6305,151.0603,24.77885,175.0186,120.716,30.95905,342.9574,379.4942,-80.11739,-11.45727,18.99539,18.49611
20436,895,52581,415,0.03423988,b'AGN',0.02519718,1502.731,417.2638,1302.814,1001.818,78.65564,216.2134,255.3738,134.8212,448.7367,236.7791,-19.23033,-12.49448,16.44284,15.82027
20437,895,52581,379,0.123332,b'',0.02607816,71.47206,19.1921,168.0483,49.38936,10.50329,19.81919,19.88989,12.12808,26.03557,21.48496,-9.102047,-6.973457,20.00025,18.36033
20438,895,52581,528,0.06725018,b'STARFORMING',0.02599199,345.0616,60.81697,93.80748,238.4255,18.8705,64.05119,45.29853,16.43653,36.08127,52.75931,-16.82621,-11.6021,18.90208,17.39289
20439,896,52592,372,0.09117622,b'STARBURST',0.02956044,1695.218,386.9045,330.0986,849.6743,65.54503,268.059,230.2469,38.57068,301.0541,334.7323,-63.50869,-31.47567,18.03812,17.21521
20440,872,52339,587,0.1451061,b'STARBURST',0.007747988,1009.76,270.5577,461.0138,179.4088,29.11085,139.1481,105.7424,24.78182,306.2534,306.3455,-189.2479,-34.10808,19.37976,18.85948
20441,874,52338,265,0.1295217,b'STARBURST',0.009878328,502.2333,147.2791,352.7811,85.81895,14.92252,62.95124,38.28644,33.46449,188.5858,190.1315,-118.2581,-20.46609,19.5361,18.9106
20442,874,52338,269,0.07864948,b'STARBURST',0.0088856,892.0882,271.0761,493.2103,138.1001,33.61565,156.2493,116.9932,30.50285,359.5586,452.4254,-89.84991,-13.87683,18.53354,18.21446
20443,874,52338,196,0.1604212,b'STARBURST',0.006835344,909.3198,291.3926,728.7683,80.9005,33.60826,136.5133,97.67661,47.06152,348.8783,412.3972,-149.1318,-14.79544,18.86588,18.57363
20444,875,52354,226,0.02849947,b'STARBURST',0.009828096,4635.495,1358.06,3811.163,835.3072,61.41635,356.7297,290.2129,157.9616,1552.224,1322.828,-210.4783,-36.75935,17.5474,17.23942
20445,875,52354,171,0.09923714,b'AGN',0.01216689,271.4556,53.85258,555.9537,218.9701,40.75479,79.33341,65.28899,44.07697,69.60992,80.04384,-19.99337,-14.83505,19.0555,17.85284
20446,877,52353,583,0.06963534,b'AGN BROADLINE',0.01580929,722.4191,126.0095,635.4356,545.8694,59.55391,186.6938,163.9733,52.69379,73.86143,200.2949,-18.33201,-13.43721,18.04929,16.38954
20447,878,52353,200,0.1142013,b'',0.01814005,613.8009,155.5488,115.2551,286.6288,65.10264,187.6506,134.0798,14.89695,250.1397,256.5592,-36.13677,-16.17326,18.76017,17.48286
20448,879,52365,200,0.02641581,b'AGN',0.01184997,396.0156,95.83524,392.1981,295.9852,20.1345,73.7036,62.57718,45.66826,56.80798,64.43634,-11.33648,-8.846777,18.02733,16.80276
20449,898,52606,465,0.02804619,b'STARFORMING',0.02189955,1150.481,293.8633,106.9248,424.8443,26.94994,210.5208,146.8387,24.80204,231.0622,320.3346,-37.10969,-13.73616,18.00865,17.19313
20450,872,52339,372,0.1985823,b'STARBURST BROADLINE',0.0109041,230.3376,60.72276,353.1306,102.4509,48.64141,41.67353,37.19495,39.16062,71.60597,76.91193,-13.15288,-5.813405,19.28293,17.92124
20451,872,52339,569,0.1580796,b'AGN',0.008742046,226.4175,57.1021,247.9021,178.1375,17.59597,47.92241,36.55216,31.02012,32.85918,48.88025,-26.08968,-20.34369,19.67628,18.44461
20452,899,52620,393,0.02718192,b'AGN',0.01525239,817.7082,156.8732,199.5405,750.8954,101.4715,283.6894,202.1225,45.29737,285.0387,166.7884,-7.485198,-6.190906,16.95937,15.29004
20453,873,52674,377,0.05040438,b'AGN',0.01282558,620.1501,181.1119,1254.991,977.0063,60.07631,224.8768,177.7635,119.0531,259.023,126.5234,-11.90937,-17.66077,17.56219,16.12792
20454,873,52674,524,0.08575431,b'STARBURST',0.009261454,1551.104,402.4878,748.5062,290.081,42.03743,224.9835,158.0157,47.89727,614.6352,484.3157,-194.6563,-36.51534,18.81414,18.34078
20455,877,52353,602,0.07022693,b'',0.009400351,446.9663,135.6351,241.5465,77.37183,17.80382,76.27441,54.90511,18.78972,210.249,189.9487,-51.82647,-9.314415,18.96673,18.37751
