,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18491,635,52145,592,b'GALAXY',b'STARBURST',0.1314576,479.9807,102.5863,73.52817,166.4978,21.91105,87.80143,61.49939,-41.07818,-14.10029
18492,636,52176,520,b'GALAXY',b'STARFORMING',0.07425242,298.3434,66.72723,25.22269,120.5679,12.69478,60.97077,49.34504,-19.87215,-7.94914
18493,637,52174,169,b'GALAXY',b'STARFORMING',0.08057757,306.5476,66.84057,25.57739,107.3343,10.7478,52.47261,40.00809,-26.7767,-9.282552
18494,637,52174,319,b'GALAXY',b'STARFORMING',0.08156896,420.004,80.52493,97.01505,153.7028,20.15736,87.29881,65.15285,-30.69464,-11.29977
18495,637,52174,332,b'GALAXY',b'STARFORMING',0.07718533,693.1786,93.00739,42.43067,360.1368,24.18926,125.3414,96.33607,-39.93487,-20.63975
18496,637,52174,404,b'GALAXY',b'STARFORMING',0.09189702,418.7433,110.3847,31.4412,149.8052,9.275474,84.62596,57.82908,-37.36882,-13.1383
18497,637,52174,629,b'GALAXY',b'STARFORMING',0.05813866,324.458,70.85352,36.96311,95.59798,10.80652,69.59476,47.68234,-35.41748,-10.6321
18498,640,52178,14,b'GALAXY',b'STARFORMING',0.1054599,538.6509,124.5302,31.66401,215.0577,15.21947,71.83916,45.72399,-21.10931,-8.270843
18499,640,52178,190,b'GALAXY',b'STARFORMING',0.07062674,272.4489,63.76206,33.73499,93.09152,7.666476,53.76784,36.61847,-27.71446,-9.877362
18500,640,52178,200,b'GALAXY',b'AGN',0.05339876,439.6789,87.63853,578.3709,403.3137,43.59693,101.4089,88.65508,-20.51536,-17.54341
18501,640,52200,270,b'GALAXY',b'STARBURST',0.02798481,2021.187,629.6726,2900.173,89.90756,30.66113,146.5867,109.7644,-333.0387,-15.71942
18502,641,52199,476,b'GALAXY',b'AGN',0.08654071,920.2763,187.5277,937.8446,649.4352,30.57646,127.0527,96.34216,-33.39755,-21.73099
18503,644,52173,168,b'GALAXY',b'STARBURST',0.05874398,2799.471,615.9238,422.0486,1772.066,115.731,446.0833,363.0901,-61.21873,-39.22101
18504,644,52173,314,b'GALAXY',b'STARBURST',0.09159075,679.2345,189.3747,68.18994,268.6087,16.49676,96.96441,73.6221,-55.61486,-21.23921
18505,644,52173,529,b'GALAXY',b'STARBURST',0.05857291,2350.054,515.9109,402.2181,713.7578,56.57313,383.0383,301.5802,-122.0418,-37.78487
18506,644,52173,600,b'GALAXY',b'STARBURST',0.0852647,669.4291,179.379,53.83907,275.4713,18.61633,106.0823,75.93455,-39.75808,-16.67898
